Age (years),Sex,Height (cm),Initial LBM (kg),Training Experience (years),Training Frequency (sessions per week),Average Reps per Set,Average Load per Exercise (kg),Average Daily Calories (kcal),Average Daily Protein Intake (grams),Average Sleep Duration per Night (hours),Sleep Quality (1–10 scale),Stress Level (1–10 scale),Creatine Supplement Use,Training Duration (Weeks),LBM after the training period (kg)
37,Female,164.1,44.2,2.5,2,15,54.2,2359.0,85.0,7.3,4.2,4.8,No,28,44.4
23,Male,174.6,59.4,0.2,7,9,62.3,2779.0,162.0,7.6,5.0,5.0,No,26,62.8
19,Male,187.6,72.2,0.4,7,15,65.2,2833.0,186.0,7.0,4.4,3.0,No,5,70.8
31,Male,185.8,66.9,2.8,2,8,48.4,2303.0,134.0,7.2,4.4,3.2,Yes,51,70.2
32,Male,186.2,67.0,1.3,3,15,72.7,2373.0,135.0,7.6,6.3,1.0,No,41,71.5
18,Male,173.1,61.8,0.8,2,4,69.6,2623.0,132.0,7.2,5.1,6.1,Yes,33,65.8
30,Female,158.6,46.1,0.2,7,7,80.5,2509.0,167.0,7.4,4.0,8.2,Yes,24,48.9
18,Male,169.3,54.9,1.0,2,10,35.6,2514.0,138.0,4.0,1.4,10.0,No,5,53.8
36,Male,176.2,62.3,0.7,3,6,74.5,2259.0,164.0,8.1,7.3,4.1,No,9,64.3
18,Male,171.3,59.6,0.3,4,11,35.3,2330.0,139.0,8.0,6.4,4.1,No,30,60.3
49,Male,169.5,56.2,1.5,3,14,42.6,2471.0,86.0,7.2,5.1,3.7,No,25,57.9
27,Male,184.9,70.0,0.3,4,14,104.8,2694.0,161.0,9.7,9.8,1.0,No,24,74.1
21,Female,175.5,59.1,4.4,2,7,37.7,1736.0,125.0,7.6,5.6,7.5,Yes,34,58.7
27,Male,170.8,52.7,10.5,5,9,61.3,2540.0,154.0,5.8,3.9,7.1,No,7,53.0
36,Male,183.6,69.9,0.3,5,5,69.5,3033.0,135.0,7.7,3.9,7.1,No,24,71.4
39,Female,169.0,55.5,0.3,1,6,52.7,2006.0,104.0,7.1,3.8,4.7,No,14,54.6
27,Male,174.8,63.0,1.3,3,10,43.5,2568.0,117.0,6.1,3.4,5.8,No,42,65.0
18,Male,188.1,66.8,7.7,4,11,59.6,2811.0,160.0,9.8,8.3,1.0,No,13,67.4
18,Female,158.3,45.1,1.2,7,11,37.2,2312.0,181.0,6.3,1.8,10.0,No,10,46.3
33,Male,189.4,71.5,1.0,2,14,63.6,2432.0,159.0,8.6,7.2,3.4,No,48,74.4
40,Female,171.2,54.7,6.2,6,14,73.2,1777.0,135.0,6.0,3.6,8.7,No,16,57.1
41,Male,181.6,68.4,1.2,2,8,46.8,2530.0,135.0,6.4,4.1,6.9,Yes,45,71.0
32,Male,169.5,60.0,3.2,2,5,46.5,2383.0,127.0,5.8,1.2,8.7,No,51,61.2
40,Male,173.1,56.0,1.1,7,7,72.8,3056.0,145.0,6.3,3.5,3.7,No,20,58.0
49,Male,187.2,70.0,2.4,7,11,55.6,2910.0,200.0,6.9,4.2,9.6,No,30,72.1
42,Male,185.1,68.9,5.0,6,11,71.9,2521.0,209.0,7.7,6.2,1.0,No,32,69.9
39,Male,174.5,57.0,2.1,6,4,78.5,2975.0,166.0,6.4,3.3,10.0,No,37,58.8
22,Female,156.2,43.4,7.0,2,10,80.9,2357.0,112.0,8.5,6.5,5.0,No,26,45.1
40,Female,175.6,53.4,2.6,5,10,51.1,2304.0,111.0,7.1,5.4,1.9,No,38,55.0
35,Male,184.5,67.9,0.1,2,15,61.3,2162.0,153.0,6.1,2.8,5.7,No,20,68.5
37,Female,166.5,46.8,0.1,5,9,54.1,2167.0,110.0,6.3,5.0,9.3,No,15,47.9
43,Female,165.3,47.1,0.3,3,9,10.0,1955.0,100.0,8.4,7.2,1.0,No,20,45.8
34,Female,153.3,39.8,0.3,1,8,17.5,2172.0,50.0,5.1,1.3,7.7,No,50,39.9
29,Male,173.4,58.6,0.1,6,6,45.5,2811.0,149.0,8.5,5.4,7.1,No,42,59.5
19,Female,160.8,44.3,0.9,3,12,62.5,2161.0,106.0,9.2,8.3,1.3,Yes,27,46.7
27,Male,172.2,56.2,9.8,7,6,78.7,2897.0,169.0,5.4,2.6,3.4,Yes,4,56.8
32,Male,179.5,58.1,1.8,6,4,44.6,2674.0,160.0,6.9,4.6,5.5,No,11,58.5
33,Male,167.2,55.8,2.7,2,14,64.9,2383.0,119.0,8.4,9.4,1.0,No,18,57.3
32,Female,166.2,47.8,1.2,3,7,10.0,1887.0,90.0,6.5,4.8,1.8,Yes,43,50.1
40,Female,156.9,43.7,0.4,6,15,57.5,2157.0,149.0,6.9,4.7,5.1,Yes,22,46.5
39,Female,155.8,41.9,0.9,5,4,75.5,2159.0,91.0,7.0,3.5,6.8,No,47,43.8
29,Male,167.4,56.4,0.5,1,10,27.4,2359.0,106.0,8.3,7.2,3.5,No,18,59.3
22,Female,167.4,53.4,1.6,5,6,72.9,1976.0,121.0,7.4,6.1,3.5,No,19,54.3
34,Male,182.1,60.5,1.3,7,8,75.9,3029.0,145.0,6.2,3.8,3.9,No,5,61.2
52,Male,182.1,67.0,3.8,3,7,61.4,2489.0,142.0,9.7,8.8,3.0,No,23,66.9
33,Male,175.9,59.3,0.5,3,7,23.3,2337.0,110.0,6.7,3.2,7.6,No,19,59.8
27,Male,172.6,62.4,1.7,7,8,83.0,2607.0,169.0,6.5,3.4,6.3,Yes,31,67.0
35,Female,152.0,39.1,0.0,4,10,61.5,2416.0,106.0,6.2,3.8,4.1,Yes,33,42.2
36,Male,181.9,65.8,3.2,5,11,67.2,2303.0,176.0,6.3,4.2,4.7,No,36,68.3
36,Female,153.5,38.3,1.6,2,14,28.3,2263.0,91.0,5.3,1.5,9.6,No,47,39.4
44,Male,179.5,60.2,0.1,7,7,48.7,2589.0,186.0,6.0,4.7,5.9,No,51,62.0
34,Male,179.1,61.3,3.4,4,6,50.0,2234.0,156.0,6.5,2.8,8.1,No,10,63.2
43,Female,162.6,45.7,0.1,2,15,55.5,1976.0,128.0,8.3,7.7,6.1,Yes,25,48.3
32,Male,196.2,77.4,1.1,6,12,74.6,2878.0,216.0,7.9,6.7,1.0,No,33,81.1
45,Female,162.0,49.0,4.0,6,4,32.3,2298.0,150.0,8.3,7.9,1.7,No,19,50.2
42,Female,158.7,41.3,0.1,6,15,49.2,2066.0,130.0,7.5,5.9,5.9,No,21,40.7
39,Male,187.5,72.3,0.6,1,14,97.0,2412.0,139.0,8.7,7.5,2.3,No,34,75.5
38,Female,159.2,42.9,0.7,5,9,50.4,2336.0,103.0,6.9,5.3,3.6,No,9,44.3
53,Male,178.3,63.6,1.6,7,7,55.5,2778.0,189.0,8.6,7.5,4.9,Yes,16,64.3
41,Female,160.6,47.9,1.3,6,10,48.2,2047.0,126.0,7.6,7.1,2.7,Yes,4,48.8
22,Male,164.4,47.7,3.7,2,8,12.1,2526.0,133.0,7.9,6.8,6.4,No,14,47.1
32,Male,182.8,65.2,4.5,5,4,59.0,2505.0,112.0,7.6,5.6,3.5,No,45,68.1
27,Male,179.4,59.8,0.9,4,5,59.5,2209.0,161.0,7.0,4.7,1.0,No,49,64.4
51,Male,177.9,61.8,4.6,7,11,89.7,2927.0,185.0,6.4,3.6,7.7,No,6,61.3
43,Female,165.5,51.4,1.0,1,11,10.0,2420.0,73.0,7.2,7.0,1.0,Yes,39,53.2
50,Female,172.3,58.7,3.0,1,8,73.6,1965.0,121.0,7.0,4.1,5.8,No,35,60.9
22,Female,157.2,45.1,1.8,4,5,50.9,2256.0,117.0,8.3,7.8,3.0,No,39,47.7
41,Male,179.7,64.7,3.4,7,7,57.6,3091.0,209.0,5.7,3.2,8.3,No,21,64.6
18,Female,159.0,44.5,1.9,5,5,51.7,2104.0,109.0,9.1,6.8,5.7,Yes,11,45.1
18,Male,184.3,69.4,3.2,3,10,75.6,2599.0,142.0,5.9,5.0,2.6,Yes,6,71.4
26,Female,162.2,50.4,1.7,3,11,70.2,2034.0,121.0,7.6,7.5,1.0,No,41,53.2
45,Female,173.3,56.3,0.2,2,9,41.1,1833.0,108.0,5.4,3.7,4.9,No,40,56.8
20,Male,174.3,61.9,3.1,2,12,76.0,2154.0,101.0,4.5,1.5,9.2,No,5,60.4
30,Female,161.3,46.7,2.4,4,15,64.5,2348.0,123.0,5.6,2.3,6.4,No,29,49.8
42,Male,189.3,70.0,3.0,6,4,48.7,2413.0,156.0,6.3,3.7,8.9,No,34,72.4
38,Female,166.5,50.9,0.2,2,11,33.5,2077.0,95.0,4.5,1.1,10.0,No,16,52.1
52,Female,159.6,46.6,2.3,2,8,47.2,2056.0,129.0,9.6,10.0,1.2,No,25,48.4
30,Female,163.3,44.5,3.0,6,4,71.7,2026.0,132.0,6.9,2.9,8.6,No,24,47.7
26,Female,162.8,44.1,0.9,3,12,35.2,2324.0,111.0,4.0,1.0,10.0,No,41,45.5
19,Male,174.5,61.7,6.1,3,5,83.7,2240.0,136.0,7.3,5.3,5.5,Yes,36,66.0
26,Female,160.2,43.3,2.3,5,5,36.2,2386.0,105.0,7.8,5.4,4.8,Yes,45,47.3
19,Male,184.5,65.8,0.1,3,15,69.9,2049.0,163.0,8.1,6.0,3.7,No,9,68.3
18,Male,181.0,69.2,2.2,3,14,36.5,2459.0,159.0,8.7,8.4,1.5,No,16,70.8
50,Female,162.3,46.8,0.0,6,4,79.6,2433.0,134.0,5.6,3.2,4.5,No,15,46.8
30,Female,162.8,47.5,0.4,4,12,21.0,2075.0,154.0,8.6,7.8,1.0,No,44,50.8
56,Female,163.0,45.8,1.0,7,4,65.2,2753.0,147.0,7.4,6.4,2.5,Yes,29,48.2
22,Male,167.4,59.6,0.8,5,10,52.9,3036.0,118.0,7.0,3.9,10.0,Yes,51,65.2
26,Female,159.0,46.0,2.6,6,9,44.3,2465.0,173.0,6.8,4.7,4.5,No,20,46.7
22,Female,165.4,49.2,0.7,5,4,68.9,2556.0,146.0,5.8,1.5,9.4,No,41,52.9
24,Male,178.5,62.1,3.0,5,13,77.3,2361.0,121.0,5.7,4.9,5.9,No,43,65.9
39,Male,166.7,54.3,0.6,3,6,56.8,2331.0,148.0,5.8,3.3,7.0,Yes,8,53.4
36,Female,156.2,43.4,1.6,5,4,62.2,2342.0,114.0,7.2,4.6,7.2,No,31,45.3
39,Female,173.7,55.8,2.0,1,4,81.2,1857.0,76.0,6.7,3.9,4.8,No,29,58.4
43,Female,164.8,49.6,5.6,4,14,22.9,1789.0,138.0,6.1,1.2,10.0,No,46,51.1
41,Male,191.6,73.7,0.1,1,14,10.0,2582.0,172.0,7.7,5.9,3.2,Yes,18,74.1
20,Female,153.6,47.1,0.7,6,4,44.7,2287.0,115.0,5.5,1.9,10.0,Yes,19,48.4
25,Female,156.0,43.0,0.5,2,6,38.8,1581.0,89.0,6.3,5.4,8.3,No,36,43.2
31,Male,183.9,69.9,2.4,2,11,69.1,2661.0,147.0,8.7,7.4,1.6,No,4,71.3
65,Female,166.1,47.4,1.3,5,14,56.2,2251.0,103.0,5.9,4.0,9.2,No,24,47.3
38,Male,166.5,52.7,1.5,1,10,56.4,2081.0,99.0,9.5,8.7,1.0,No,25,54.1
31,Male,175.0,57.4,0.2,6,11,43.6,2730.0,159.0,9.4,9.8,1.0,No,37,58.8
37,Male,182.2,66.9,1.7,1,14,60.6,2230.0,150.0,6.4,5.0,6.1,No,44,68.4
24,Male,187.3,73.5,0.7,1,7,71.4,2488.0,167.0,5.1,2.3,7.7,No,40,76.0
33,Female,165.8,48.9,3.0,3,4,58.4,2085.0,143.0,7.9,7.8,1.5,No,21,49.8
40,Female,164.7,46.9,0.9,6,9,55.8,2305.0,134.0,6.4,5.1,5.3,Yes,12,46.9
30,Male,177.6,60.4,0.1,1,11,70.0,2521.0,100.0,7.2,5.3,4.2,No,31,61.5
22,Male,175.7,61.6,0.1,2,13,51.7,2179.0,97.0,7.9,5.0,6.8,Yes,18,62.6
29,Male,180.5,62.2,0.7,2,7,52.5,2535.0,123.0,6.7,4.8,3.7,Yes,37,67.0
27,Female,162.8,46.5,0.8,2,9,61.6,2195.0,83.0,6.5,6.7,2.6,Yes,31,49.5
18,Female,168.4,53.4,2.3,4,8,54.2,1952.0,122.0,5.2,4.2,5.5,Yes,9,55.7
24,Female,161.6,44.7,0.7,6,15,49.6,2349.0,155.0,4.3,1.0,10.0,No,37,48.5
18,Female,166.2,53.8,2.9,7,5,85.9,2591.0,180.0,8.4,6.9,1.0,No,52,57.7
18,Female,161.1,46.9,1.6,2,6,30.3,2281.0,99.0,6.9,7.1,3.7,No,51,49.1
19,Male,173.5,59.7,0.7,4,14,58.4,2505.0,171.0,7.2,5.1,3.2,No,32,59.9
40,Female,168.8,53.9,0.6,7,4,36.0,2295.0,159.0,6.0,3.2,6.7,No,44,55.8
45,Female,160.8,47.6,0.8,3,6,40.3,2283.0,112.0,4.9,2.8,8.2,No,17,46.8
18,Female,176.1,55.9,0.7,4,6,59.0,2370.0,135.0,4.7,2.3,3.4,Yes,17,57.7
46,Female,160.5,42.7,1.8,6,11,51.5,2224.0,125.0,6.8,4.3,2.9,Yes,27,43.7
19,Female,164.8,51.0,3.1,2,10,78.5,1960.0,88.0,8.4,7.2,3.2,No,23,53.0
37,Female,172.3,50.4,0.5,4,15,25.1,2239.0,119.0,10.0,9.6,1.0,No,43,52.5
33,Female,172.7,51.3,3.1,7,12,63.7,2468.0,148.0,8.8,8.2,1.0,No,27,55.3
36,Female,166.8,49.5,0.1,6,7,60.4,2114.0,150.0,7.9,5.7,3.9,No,5,48.0
18,Female,165.6,48.5,0.8,1,11,48.7,2115.0,109.0,5.8,3.4,8.6,No,5,49.7
18,Male,173.2,52.8,0.9,5,14,89.2,2379.0,140.0,7.0,4.6,7.6,Yes,38,58.0
22,Male,170.9,58.6,0.1,2,11,72.8,2428.0,122.0,9.5,9.7,1.0,No,25,61.1
34,Female,169.7,52.0,1.6,3,4,19.0,2328.0,141.0,7.9,7.6,1.5,Yes,14,52.0
50,Male,181.7,61.7,0.1,1,12,75.4,2110.0,157.0,5.2,2.6,6.2,Yes,21,63.9
20,Male,177.7,55.5,2.1,2,5,67.9,2656.0,89.0,8.0,6.2,1.4,No,11,56.5
29,Male,168.6,51.4,2.1,3,15,66.5,2242.0,118.0,6.5,3.3,7.5,Yes,38,53.8
23,Female,161.6,48.4,0.4,3,10,31.8,2078.0,102.0,8.1,7.6,2.3,No,43,50.3
30,Male,171.6,57.5,0.2,5,8,54.0,2910.0,165.0,6.6,4.7,5.0,No,45,60.7
18,Male,158.6,47.3,0.2,7,6,61.4,2750.0,155.0,6.6,4.7,6.2,No,44,51.8
45,Male,172.1,60.3,0.6,7,9,51.8,2998.0,167.0,7.5,5.8,3.3,Yes,48,62.8
30,Female,161.6,45.4,3.1,5,4,42.9,2365.0,141.0,8.4,7.3,2.1,No,36,48.6
39,Male,174.0,53.0,1.7,7,10,68.2,2798.0,162.0,6.7,5.4,7.5,No,39,55.3
28,Male,176.0,68.2,1.8,3,10,68.1,2607.0,182.0,6.0,4.4,6.1,No,48,71.7
32,Female,159.8,42.0,1.3,5,14,93.3,2282.0,135.0,7.3,3.1,7.4,No,25,44.9
41,Female,165.9,48.2,1.9,3,4,50.7,2186.0,169.0,6.3,3.5,7.3,No,31,50.3
31,Male,190.7,68.2,6.1,1,13,108.6,2021.0,126.0,7.6,5.7,4.4,No,6,69.0
32,Female,159.5,48.1,3.9,5,7,59.1,2277.0,173.0,8.1,8.2,3.0,Yes,25,50.6
22,Male,171.1,60.0,0.1,3,14,52.4,2826.0,147.0,6.0,4.2,5.4,No,43,61.7
25,Female,158.8,43.3,1.0,5,6,49.7,2330.0,104.0,6.6,3.6,8.2,No,15,43.8
20,Male,180.0,65.5,2.9,2,8,33.7,2644.0,141.0,6.9,5.6,4.3,No,14,67.0
23,Male,177.7,63.6,6.9,4,12,64.1,2527.0,111.0,9.0,7.4,4.9,Yes,13,65.1
43,Female,167.8,49.2,0.4,2,11,44.4,2237.0,151.0,6.4,5.6,4.1,No,45,51.3
48,Female,162.7,43.1,1.9,2,5,65.3,1716.0,105.0,8.8,9.2,1.0,No,50,45.7
18,Male,178.2,60.6,4.6,5,14,37.3,2821.0,195.0,5.6,2.4,7.2,No,46,62.5
34,Male,164.0,52.6,0.9,3,10,77.3,2363.0,97.0,6.0,3.1,4.8,No,17,53.5
27,Female,174.6,54.8,0.9,1,4,76.6,1623.0,91.0,7.5,7.0,3.2,Yes,44,58.2
44,Female,167.4,56.3,0.2,7,14,45.1,2356.0,148.0,8.7,7.0,2.9,No,21,57.3
31,Male,182.9,65.4,0.8,4,14,28.0,2442.0,137.0,6.9,4.8,3.3,Yes,7,65.0
30,Female,167.2,48.6,5.5,3,11,21.4,2151.0,94.0,7.4,5.4,8.7,No,24,50.4
23,Male,190.7,73.2,3.3,1,14,22.8,2094.0,155.0,9.0,7.9,4.1,No,24,75.2
18,Male,177.0,60.8,0.5,3,4,74.5,2538.0,113.0,6.4,3.1,9.5,Yes,20,64.1
38,Male,169.4,51.1,6.5,6,5,79.7,2183.0,138.0,9.4,9.5,1.0,No,9,52.7
34,Male,159.6,48.3,0.2,2,4,58.0,2310.0,145.0,7.7,7.2,6.0,Yes,7,46.7
34,Male,170.4,55.8,10.0,6,13,58.0,2609.0,153.0,6.8,4.0,6.3,Yes,47,58.6
24,Male,179.6,63.1,1.2,4,5,76.8,2428.0,176.0,6.2,3.6,8.3,No,35,65.9
29,Male,181.4,64.0,0.5,7,8,52.1,2637.0,189.0,6.9,3.7,7.4,No,6,65.1
38,Male,172.8,57.6,0.4,5,7,56.5,2635.0,134.0,5.9,3.8,3.0,Yes,50,63.5
40,Male,174.0,57.2,2.6,2,11,79.0,2617.0,102.0,8.5,9.0,1.5,No,9,59.9
18,Male,177.5,64.6,1.9,4,4,69.0,2410.0,144.0,7.6,6.1,1.7,Yes,39,68.6
24,Female,150.0,37.8,6.8,4,7,53.6,2198.0,99.0,8.2,7.8,4.0,No,47,41.6
18,Male,184.1,67.5,5.5,6,14,60.8,2704.0,224.0,4.0,2.2,7.6,No,47,72.6
32,Female,161.4,43.5,3.6,3,14,59.3,2311.0,129.0,9.2,8.9,2.2,Yes,48,46.4
39,Male,171.8,54.2,0.6,5,6,93.8,2765.0,150.0,6.6,4.0,6.4,No,45,59.1
27,Male,191.2,72.6,3.4,4,11,88.0,2700.0,151.0,7.4,5.7,4.3,No,6,73.2
23,Female,178.8,59.8,2.6,4,6,44.5,1761.0,145.0,7.1,3.4,1.8,Yes,41,63.9
27,Female,172.1,53.9,4.5,2,11,30.1,2057.0,118.0,5.2,2.7,4.9,No,45,54.2
53,Male,185.0,70.1,1.2,7,13,101.6,2819.0,212.0,7.8,5.2,8.1,No,43,74.5
42,Male,192.4,71.1,0.5,4,10,76.9,2426.0,156.0,6.7,4.2,5.3,No,35,73.7
37,Female,160.4,45.4,3.8,6,8,80.9,2461.0,157.0,8.1,7.7,3.3,No,19,48.2
33,Female,168.6,46.8,1.9,6,14,63.5,1950.0,174.0,7.3,7.0,1.2,Yes,51,50.8
30,Female,159.1,41.3,1.3,1,10,41.9,2009.0,88.0,8.0,7.0,4.7,Yes,14,42.9
21,Male,164.7,53.3,2.0,3,5,65.2,2730.0,134.0,7.2,4.8,4.6,No,8,52.6
19,Male,170.2,54.3,4.6,3,7,64.5,2542.0,110.0,7.8,5.2,4.5,No,26,55.9
24,Female,157.7,44.7,0.3,7,15,56.6,2339.0,172.0,8.2,7.1,1.0,No,21,47.4
20,Female,160.5,43.8,0.4,2,14,53.9,2195.0,138.0,7.3,7.3,2.1,No,46,47.0
24,Female,151.0,37.5,0.3,3,10,63.3,2467.0,98.0,8.2,7.7,2.4,Yes,7,39.1
29,Female,161.7,46.6,1.8,3,14,50.4,1848.0,138.0,6.4,4.2,4.2,Yes,50,50.8
30,Female,170.7,53.3,0.4,7,7,44.3,2367.0,172.0,7.4,3.7,8.4,No,52,57.0
24,Male,182.1,64.5,0.1,3,10,53.5,2679.0,180.0,8.4,4.0,6.8,Yes,27,67.2
35,Male,182.4,72.4,1.8,1,7,55.3,2119.0,131.0,6.7,3.2,7.5,No,51,74.1
28,Female,161.7,44.8,0.6,3,11,31.5,2400.0,104.0,9.1,9.9,2.2,No,9,45.5
32,Male,176.1,66.5,1.9,3,6,44.5,2340.0,175.0,6.3,3.8,5.4,Yes,10,64.5
23,Male,178.7,68.6,1.9,1,4,38.9,2493.0,98.0,8.7,7.7,4.4,No,12,68.8
37,Male,179.9,60.0,0.6,2,10,99.3,2313.0,124.0,5.9,4.3,5.0,No,31,60.4
25,Male,176.3,59.2,4.0,2,6,74.8,2243.0,171.0,7.7,7.0,3.3,No,12,61.5
46,Male,160.7,47.6,1.9,1,9,60.2,2476.0,84.0,5.3,1.1,10.0,No,20,49.0
28,Female,172.7,58.0,1.9,6,9,59.1,2242.0,168.0,7.0,4.7,4.7,No,36,60.4
29,Male,173.7,57.1,4.3,6,11,104.9,2715.0,145.0,8.1,6.5,1.5,Yes,38,61.9
36,Male,168.4,56.8,5.3,1,4,32.2,2270.0,105.0,8.8,6.4,1.0,No,29,58.4
38,Male,174.3,60.2,3.4,5,5,75.1,2651.0,152.0,8.2,5.9,7.5,Yes,8,60.9
39,Male,177.8,63.9,1.7,5,5,73.1,3041.0,195.0,7.4,4.8,3.7,No,50,66.8
48,Female,169.9,54.1,1.5,6,15,29.6,2399.0,143.0,6.0,2.9,2.9,No,9,53.7
37,Female,168.5,49.6,0.8,1,11,68.4,2146.0,126.0,9.0,9.1,1.4,No,43,51.8
29,Male,174.7,57.5,0.3,6,10,66.3,3126.0,145.0,5.2,1.4,8.9,Yes,22,60.5
25,Female,160.9,44.6,2.9,7,8,53.0,2734.0,146.0,6.0,2.7,8.1,No,49,48.7
29,Male,171.4,60.2,3.8,5,5,46.2,2589.0,158.0,7.5,7.3,2.4,No,36,63.7
45,Female,164.2,44.4,1.0,6,4,47.1,2273.0,132.0,8.9,8.8,1.0,No,5,44.8
18,Male,167.3,56.2,4.2,2,9,67.5,2526.0,138.0,6.0,4.0,2.1,No,41,60.6
22,Male,191.0,73.6,2.5,3,5,72.0,2580.0,197.0,7.5,5.9,6.0,No,11,74.9
28,Female,152.2,42.0,4.8,6,13,51.0,2519.0,104.0,6.6,3.5,6.3,Yes,6,42.8
22,Female,154.2,43.1,3.6,5,11,89.2,2679.0,115.0,6.6,3.4,8.2,Yes,30,45.5
26,Male,179.3,62.6,0.1,3,4,70.7,2621.0,149.0,7.9,7.1,2.2,No,48,65.9
48,Female,159.2,43.0,0.6,6,7,67.7,2224.0,132.0,8.0,6.9,4.8,No,29,45.5
27,Male,180.9,67.8,2.1,2,8,69.0,2470.0,109.0,6.1,3.9,10.0,No,24,67.9
34,Female,168.6,50.8,3.4,2,10,35.5,2120.0,94.0,6.4,4.9,6.8,No,32,54.4
18,Male,178.9,61.5,4.0,3,5,17.5,2317.0,111.0,7.0,5.9,7.7,No,29,62.4
19,Female,157.0,45.2,2.9,7,7,63.6,2792.0,137.0,7.7,7.5,1.6,No,44,48.2
39,Male,177.0,60.9,0.2,3,8,34.8,2620.0,173.0,6.4,3.9,5.9,Yes,48,64.6
47,Male,176.3,61.9,0.1,4,15,65.5,2766.0,108.0,5.2,1.0,9.7,Yes,38,63.5
32,Female,164.0,44.5,2.0,4,10,68.4,2327.0,143.0,5.9,3.6,5.6,No,32,47.2
27,Female,159.2,44.1,0.7,1,8,10.0,1873.0,108.0,5.7,1.4,7.4,Yes,10,43.5
35,Female,162.2,48.1,3.8,6,8,60.9,2100.0,146.0,7.1,5.6,3.1,No,27,49.8
18,Male,179.9,59.9,2.6,5,13,80.9,2424.0,168.0,8.2,6.0,2.0,No,45,64.3
32,Male,179.1,66.4,6.4,5,8,109.6,2577.0,182.0,6.8,5.2,6.9,No,50,72.3
20,Male,186.4,64.5,0.4,3,10,63.3,2446.0,125.0,5.7,4.1,8.7,No,18,67.0
38,Male,181.1,68.6,9.2,7,8,100.4,2801.0,191.0,6.4,5.0,6.2,No,49,73.3
18,Female,153.1,41.7,1.2,6,14,44.0,2301.0,118.0,6.6,4.9,5.1,Yes,16,43.1
24,Male,172.4,55.6,0.8,7,7,115.9,3064.0,179.0,5.9,2.8,7.2,No,47,60.4
30,Female,167.7,50.7,1.9,1,13,30.8,2150.0,84.0,7.4,6.1,3.7,Yes,32,53.3
22,Female,153.7,42.8,4.1,5,15,10.0,2234.0,161.0,9.5,8.0,1.0,No,47,43.6
26,Male,183.8,61.8,6.5,3,8,85.6,2750.0,165.0,6.7,4.2,3.9,Yes,4,63.9
39,Female,168.9,52.0,1.5,2,10,43.5,1976.0,113.0,8.0,8.2,1.0,Yes,39,53.4
30,Female,168.2,52.1,1.1,2,10,81.4,2261.0,92.0,6.3,4.4,3.3,Yes,26,54.8
21,Female,164.4,47.8,0.8,1,15,19.1,1880.0,89.0,7.8,7.2,3.0,No,9,48.5
39,Male,178.3,61.8,1.4,7,12,55.2,2623.0,192.0,9.2,7.0,1.4,No,32,64.8
33,Female,156.9,43.7,2.9,3,13,58.6,1880.0,149.0,7.0,6.1,4.2,No,45,46.4
33,Male,177.5,58.2,0.1,2,15,70.5,2371.0,116.0,6.6,3.1,6.9,Yes,18,58.8
21,Male,178.1,62.0,2.8,6,12,77.4,3006.0,184.0,6.7,4.5,5.5,Yes,29,66.0
18,Female,167.8,50.8,0.3,3,9,46.6,1938.0,134.0,7.1,3.9,7.6,No,6,50.9
21,Female,161.5,43.9,3.0,6,10,65.2,2576.0,136.0,8.2,8.1,2.3,No,17,45.8
20,Male,181.2,64.8,0.2,1,13,27.4,2508.0,142.0,9.3,9.6,1.0,Yes,48,65.5
24,Female,173.7,58.6,0.3,6,10,34.6,2354.0,191.0,4.0,1.0,9.0,No,28,58.8
22,Female,166.3,51.1,2.4,2,7,10.0,2006.0,127.0,8.1,6.5,1.5,No,4,50.3
31,Male,175.1,59.7,2.0,4,11,68.9,2678.0,138.0,6.2,3.6,4.6,No,4,61.8
39,Female,164.5,53.6,0.6,4,11,33.4,2065.0,152.0,6.2,4.2,3.5,Yes,18,54.8
41,Female,172.1,49.9,1.5,4,4,24.3,2155.0,133.0,5.9,3.6,8.0,No,33,49.0
38,Female,160.2,43.8,3.3,6,11,10.0,2650.0,120.0,5.2,2.4,7.7,No,31,44.2
21,Male,176.7,66.8,1.3,2,13,59.5,2495.0,135.0,7.6,4.5,4.5,Yes,45,69.1
31,Male,188.0,71.2,0.9,7,12,39.6,3061.0,173.0,7.0,3.1,7.3,No,21,72.2
46,Female,155.4,38.0,1.0,5,10,16.6,2163.0,83.0,7.8,8.0,4.2,No,23,37.5
18,Male,180.5,63.5,0.4,6,11,49.9,2911.0,163.0,7.3,4.8,4.1,Yes,27,65.1
43,Male,173.9,60.5,3.0,2,11,71.5,2852.0,141.0,6.1,1.9,10.0,No,50,62.8
20,Female,161.4,44.5,1.3,7,14,93.0,2290.0,171.0,5.8,5.1,5.2,Yes,20,47.0
33,Male,180.3,64.5,1.0,1,7,54.4,2102.0,139.0,5.8,2.3,10.0,No,16,65.4
34,Female,161.1,39.8,1.5,6,9,63.8,2428.0,122.0,6.8,4.7,7.2,Yes,30,42.7
32,Female,164.7,48.8,2.1,4,15,63.2,2422.0,133.0,7.9,6.8,1.7,No,40,52.4
52,Female,170.2,49.8,0.8,1,8,51.7,1964.0,146.0,7.7,5.4,4.1,Yes,32,49.0
27,Female,156.3,42.2,2.4,5,10,62.4,2184.0,156.0,5.7,2.6,8.2,Yes,12,44.1
18,Male,172.4,58.7,0.3,3,15,64.8,2510.0,137.0,6.4,3.7,7.9,Yes,22,59.7
34,Male,179.0,59.8,3.2,1,9,71.2,2443.0,119.0,9.4,8.7,1.0,No,5,61.7
